Brand,Screen Size,RAM,Storage,Price (USD),Camera (MP),Marketing Budget (USD),Region,Quarter,Units Sold (millions)
Apple,4.7,16,512,1400,32,100,Asia,Q2,418
Sony,6.0,16,256,700,24,5000,Europe,Q4,257
Apple,6.0,3,128,700,32,2000,Oceania,Q2,563
Motorola,6.4,2,64,1300,32,5000,South America,Q2,944
Sony,5.2,2,32,600,108,2000,Africa,Q1,189
Apple,6.5,6,64,800,48,1000,Asia,Q1,471
LG,6.5,4,64,1400,48,100,Africa,Q4,697
Sony,5.0,6,64,100,16,5000,South America,Q4,243
Apple,5.8,6,128,1400,64,100,South America,Q2,598
Google,6.8,16,1024,1000,108,100,South America,Q2,793
Samsung,6.9,2,128,1100,8,10000,Africa,Q2,561
Motorola,5.8,12,1024,400,8,500,Africa,Q2,519
Samsung,5.5,3,256,1400,12,20000,Europe,Q2,493
Oppo,6.9,16,1024,100,48,20000,Asia,Q1,263
Sony,6.5,3,128,400,108,10000,Europe,Q1,738
Samsung,5.0,12,128,900,12,1000,South America,Q1,762
Samsung,6.8,3,32,400,108,100,South America,Q2,739
Xiaomi,6.5,4,128,1200,24,5000,Asia,Q2,464
OnePlus,5.5,2,256,100,48,20000,Asia,Q1,218
Xiaomi,6.5,12,128,1400,16,10000,South America,Q3,500
OnePlus,6.8,4,32,1300,32,20000,Asia,Q2,776
OnePlus,4.5,16,512,900,8,20000,North America,Q3,158
Samsung,6.5,16,256,800,16,20000,Europe,Q3,120
Xiaomi,5.5,4,512,900,20,20000,Oceania,Q4,482
Samsung,6.9,16,64,1500,24,5000,South America,Q2,460
Huawei,5.8,2,128,1200,12,20000,Asia,Q1,707
LG,6.9,6,1024,1400,64,500,Oceania,Q1,640
OnePlus,6.2,3,128,100,24,10000,Asia,Q3,620
Oppo,6.2,2,1024,300,64,2000,North America,Q3,767
Huawei,6.0,16,64,900,8,5000,Oceania,Q3,674
Xiaomi,6.9,2,1024,1500,8,2000,Africa,Q4,421
Sony,6.0,3,128,700,16,1000,South America,Q3,148
OnePlus,6.5,3,1024,800,16,100,Asia,Q3,512
Motorola,6.8,2,64,1400,64,10000,North America,Q3,660
LG,6.4,8,128,1200,24,1000,Asia,Q4,832
OnePlus,5.8,6,512,1500,108,2000,South America,Q3,136
LG,5.8,2,512,400,48,1000,South America,Q2,108
Samsung,4.7,2,512,500,12,10000,South America,Q1,294
Oppo,5.8,2,1024,800,32,20000,Africa,Q4,690
LG,7.0,12,512,600,20,1000,Asia,Q2,704
Xiaomi,6.2,3,128,500,24,2000,Asia,Q3,436
Motorola,6.5,8,32,200,32,5000,Europe,Q4,295
LG,5.8,12,512,500,24,500,South America,Q1,757
OnePlus,4.5,4,64,200,24,10000,Oceania,Q4,360
OnePlus,4.5,16,64,600,20,2000,Africa,Q3,350
Apple,6.9,8,512,500,108,100,Asia,Q3,835
Motorola,5.5,16,1024,900,24,500,Europe,Q4,835
Apple,6.4,8,64,400,12,2000,Oceania,Q3,772
Motorola,6.9,4,1024,1400,48,10000,Europe,Q1,216
Google,4.7,6,256,200,48,500,Oceania,Q3,160
Motorola,5.8,8,32,800,48,20000,North America,Q2,761
Sony,6.8,4,128,1000,20,500,Asia,Q2,948
Oppo,4.5,4,512,1200,8,100,Oceania,Q1,520
Huawei,4.5,2,256,1100,48,100,Europe,Q2,104
Motorola,5.5,16,256,1500,108,5000,Asia,Q2,773
OnePlus,5.8,3,256,700,16,5000,South America,Q2,310
OnePlus,6.2,12,256,1300,16,1000,Africa,Q2,640
Google,4.7,8,32,200,8,5000,Europe,Q4,702
LG,6.4,16,1024,100,108,500,Oceania,Q4,242
Xiaomi,6.4,12,512,400,16,2000,Asia,Q2,904
OnePlus,6.0,6,128,600,32,1000,North America,Q4,712
Sony,6.4,12,32,1000,12,500,Europe,Q4,747
LG,5.0,4,1024,1000,48,2000,Oceania,Q2,540
OnePlus,4.7,4,1024,700,8,10000,Africa,Q2,294
Google,6.0,8,128,300,48,5000,Asia,Q4,514
Oppo,6.4,8,256,500,24,10000,North America,Q2,708
Xiaomi,5.5,8,512,700,12,10000,Europe,Q1,519
Oppo,5.0,3,512,300,12,5000,Africa,Q2,480
LG,7.0,12,1024,700,24,100,Africa,Q1,459
Apple,5.2,4,512,600,48,10000,Europe,Q2,741
Motorola,6.0,16,128,600,24,500,Africa,Q1,867
Oppo,5.2,3,32,1000,108,2000,North America,Q1,147
Google,7.0,12,256,300,12,5000,Oceania,Q3,404
Google,6.2,4,512,700,24,10000,Asia,Q2,346
Samsung,6.7,2,256,1200,32,1000,North America,Q3,764
Motorola,5.8,8,64,1100,64,1000,North America,Q1,847
Apple,6.0,8,256,1300,16,500,North America,Q4,869
LG,6.0,16,64,1100,12,10000,South America,Q3,949
Apple,6.9,16,32,500,32,2000,South America,Q4,196
Xiaomi,6.0,4,1024,1300,64,1000,South America,Q4,991
Huawei,6.5,2,512,100,24,10000,Asia,Q2,717
Xiaomi,6.8,6,64,300,24,5000,North America,Q3,726
Google,6.8,6,64,400,8,20000,Oceania,Q2,791
Oppo,6.9,12,256,600,48,100,South America,Q2,776
Apple,4.5,2,32,600,8,1000,Oceania,Q1,184
Oppo,6.4,12,512,1200,108,20000,Europe,Q2,605
Google,5.0,2,256,100,8,2000,North America,Q4,635
Apple,6.8,6,256,900,32,20000,Europe,Q3,397
Google,4.5,8,256,100,64,100,South America,Q1,139
Oppo,5.8,4,512,500,24,100,North America,Q1,617
Apple,4.7,4,256,1500,48,10000,North America,Q3,526
Motorola,6.5,8,64,400,108,500,Europe,Q2,165
Sony,5.8,4,512,900,24,20000,Oceania,Q4,424
Huawei,7.0,4,256,1300,20,1000,Asia,Q1,804
LG,6.7,12,1024,1400,8,20000,Oceania,Q4,427
Sony,5.0,4,512,800,8,100,Oceania,Q3,849
OnePlus,6.5,12,1024,700,16,100,Europe,Q4,734
Google,6.5,16,512,1000,8,100,Oceania,Q3,374
Xiaomi,5.5,12,128,300,8,100,Asia,Q2,684
LG,6.9,4,32,400,48,5000,South America,Q4,809
Huawei,5.5,6,512,500,108,10000,Africa,Q4,747
Samsung,6.2,3,1024,1200,48,5000,Europe,Q1,225
Sony,6.4,12,64,600,32,100,Asia,Q3,805
Samsung,6.4,6,128,500,64,100,Oceania,Q3,409
Motorola,6.9,3,32,1500,12,2000,Africa,Q2,260
Google,4.5,2,512,500,16,500,Oceania,Q1,200
Motorola,6.7,4,128,800,24,2000,Europe,Q2,212
Xiaomi,6.5,12,32,1300,32,5000,Asia,Q2,626
Motorola,5.0,12,512,100,108,100,North America,Q2,201
Motorola,5.2,16,1024,200,20,20000,Oceania,Q2,445
Xiaomi,6.8,4,1024,500,32,1000,North America,Q4,107
OnePlus,4.7,4,256,1100,24,5000,Africa,Q1,665
LG,4.7,4,64,100,12,10000,South America,Q4,511
OnePlus,5.8,16,128,900,108,1000,Europe,Q4,483
Huawei,6.8,4,128,900,24,1000,South America,Q4,525
Motorola,6.8,16,256,500,48,100,Africa,Q3,656
Apple,4.5,6,1024,1400,24,500,Asia,Q3,909
Samsung,5.0,4,512,1100,8,20000,South America,Q3,467
OnePlus,6.0,6,64,500,24,1000,Europe,Q4,730
Apple,6.4,4,32,1200,32,5000,South America,Q3,964
Oppo,5.0,12,512,1100,32,500,Europe,Q2,681
OnePlus,6.0,2,64,1000,16,100,North America,Q4,231
Apple,6.5,3,512,1000,64,10000,Europe,Q2,717
Motorola,6.5,6,32,700,108,2000,Europe,Q3,470
Sony,5.5,12,32,1400,20,1000,South America,Q1,151
OnePlus,6.4,8,128,1300,24,5000,South America,Q3,427
OnePlus,6.5,4,512,1000,20,2000,Africa,Q2,320
Samsung,6.8,12,64,300,16,1000,North America,Q2,562
Sony,5.2,16,256,600,32,20000,Africa,Q3,605
Google,5.0,12,64,1000,108,20000,North America,Q3,748
Xiaomi,6.5,12,32,1100,16,100,North America,Q1,599
Xiaomi,6.4,4,32,1000,64,500,South America,Q1,874
Samsung,6.8,12,32,1000,32,1000,Asia,Q1,596
Google,4.7,8,32,900,16,5000,North America,Q4,157
Sony,6.7,8,64,300,32,100,South America,Q2,270
OnePlus,6.0,6,512,100,12,1000,Europe,Q4,197
Google,5.8,6,512,800,108,10000,North America,Q2,234
Samsung,5.5,6,256,1500,12,100,Europe,Q3,291
Samsung,6.9,12,32,1400,16,100,Asia,Q4,386
Huawei,6.4,4,256,700,12,100,South America,Q2,391
LG,5.0,2,256,100,16,2000,Oceania,Q4,327
OnePlus,6.9,4,128,1000,108,500,Asia,Q2,726
Xiaomi,6.7,16,128,300,64,2000,Europe,Q1,347
Apple,7.0,12,512,800,16,10000,Asia,Q3,555
Google,6.7,16,256,900,12,20000,South America,Q4,488
Huawei,6.2,2,1024,600,16,20000,North America,Q3,119
Apple,6.2,12,256,1100,12,10000,Europe,Q1,542
Apple,6.0,8,512,1100,16,10000,Africa,Q4,353
LG,5.2,3,1024,600,32,1000,North America,Q1,289
Apple,6.8,2,32,300,16,1000,Oceania,Q3,749
Sony,4.5,8,512,400,24,100,North America,Q1,894
Huawei,6.4,4,512,500,8,20000,South America,Q3,268
Xiaomi,7.0,8,256,1200,108,500,Oceania,Q3,993
Google,4.7,16,32,100,20,100,Oceania,Q4,795
Samsung,6.9,16,512,400,16,2000,Oceania,Q2,432
Samsung,6.4,12,32,700,64,20000,Africa,Q1,674
Huawei,4.5,6,512,1200,12,500,Europe,Q1,647
Huawei,6.5,12,1024,500,16,100,South America,Q4,182
LG,5.8,6,256,100,24,10000,Asia,Q3,916
Sony,4.5,12,256,200,64,20000,Oceania,Q1,318
Huawei,5.2,8,128,900,32,1000,Europe,Q2,644
Google,5.0,4,1024,400,12,20000,Africa,Q1,465
Apple,4.5,6,512,400,16,1000,North America,Q4,728
OnePlus,4.7,4,256,500,108,10000,North America,Q2,618
Xiaomi,4.5,8,128,1400,108,100,North America,Q3,624
Motorola,5.8,8,32,200,64,1000,Asia,Q3,895
Oppo,6.0,2,32,1100,20,1000,Oceania,Q4,805
Xiaomi,5.8,6,64,1300,12,5000,South America,Q1,216
Samsung,6.9,6,64,200,64,500,Africa,Q3,198
Apple,5.0,2,128,1400,8,10000,Asia,Q3,324
Google,6.7,4,64,300,20,100,Europe,Q1,334
Huawei,4.7,16,512,400,64,1000,North America,Q1,893
Sony,6.8,12,64,1100,64,20000,Oceania,Q2,726
OnePlus,6.9,6,64,1100,24,1000,South America,Q1,152
Xiaomi,4.5,3,1024,500,20,5000,Africa,Q4,360
Google,5.0,12,128,1300,108,10000,Asia,Q4,856
LG,6.9,6,128,100,8,10000,Africa,Q1,645
Apple,5.2,8,64,900,48,1000,Africa,Q2,167
OnePlus,6.4,16,32,700,64,20000,South America,Q1,988
Sony,5.2,4,32,200,24,10000,Europe,Q1,414
Oppo,5.8,16,1024,1000,108,2000,Asia,Q3,714
Google,6.2,16,256,500,20,500,South America,Q1,452
Motorola,4.5,16,64,1500,64,5000,Africa,Q2,689
Huawei,6.4,16,256,900,108,1000,North America,Q4,381
Samsung,6.7,3,1024,800,8,5000,Europe,Q4,237
OnePlus,6.0,12,512,1300,32,10000,Asia,Q4,760
Motorola,6.9,4,32,1200,8,5000,South America,Q1,579
Motorola,4.7,3,32,1000,12,2000,North America,Q2,940
Sony,6.8,8,1024,900,108,100,South America,Q3,141
OnePlus,4.5,2,1024,1100,108,1000,Asia,Q4,813
Google,5.2,4,256,900,32,1000,Africa,Q4,568
Google,6.7,8,512,700,12,2000,Africa,Q4,175
Huawei,6.2,12,512,500,24,20000,North America,Q1,419
Samsung,6.4,12,1024,700,16,10000,Oceania,Q2,541
LG,6.9,2,512,200,64,5000,Africa,Q1,577
Google,5.2,12,1024,400,24,1000,Africa,Q2,506
Google,4.5,3,256,100,16,20000,North America,Q2,771
Motorola,5.0,12,32,500,108,5000,Africa,Q2,899
LG,4.5,6,64,900,16,100,Asia,Q3,653
Xiaomi,6.2,16,1024,400,16,10000,North America,Q2,318
Apple,5.2,12,1024,500,48,10000,Europe,Q4,716
Samsung,6.9,3,128,1100,20,20000,North America,Q4,783
Google,4.5,3,64,500,48,5000,Oceania,Q1,234
Google,4.5,6,256,1500,64,1000,Africa,Q3,434
Google,6.7,3,256,1400,48,1000,Europe,Q4,526
OnePlus,6.0,12,32,700,8,1000,South America,Q2,343
Oppo,6.4,8,128,500,64,2000,Europe,Q4,585
LG,5.5,6,128,100,16,10000,Asia,Q3,639
LG,6.7,12,32,1100,12,100,South America,Q4,464
Sony,6.0,4,64,1000,108,500,South America,Q4,422
Apple,4.7,6,64,1400,48,100,South America,Q2,402
Xiaomi,6.2,6,32,1000,24,2000,Asia,Q3,631
Sony,5.5,16,256,300,32,100,South America,Q1,191
Motorola,6.8,8,512,1200,8,100,Asia,Q3,800
LG,5.5,12,64,1100,20,5000,Asia,Q1,350
Google,6.2,8,512,100,8,1000,North America,Q4,493
LG,6.2,6,128,400,12,100,Africa,Q2,267
Oppo,6.9,8,512,900,108,100,South America,Q2,709
Oppo,6.2,12,256,1200,48,2000,Europe,Q3,174
Oppo,6.4,8,32,800,32,2000,North America,Q3,450
Oppo,4.7,6,64,1300,32,500,Africa,Q4,804
Motorola,4.7,2,128,1000,108,500,North America,Q3,302
Oppo,5.0,4,512,800,64,5000,Oceania,Q4,636
Apple,5.2,16,256,900,108,100,Asia,Q2,104
Huawei,7.0,8,64,1500,8,10000,Africa,Q1,917
Samsung,6.5,4,128,1500,64,1000,South America,Q2,957
Sony,6.8,3,128,1400,32,100,Europe,Q4,397
Samsung,6.9,6,32,500,64,2000,Asia,Q3,803
Huawei,7.0,12,128,300,16,10000,Asia,Q3,660
OnePlus,6.2,2,1024,300,64,10000,South America,Q2,326
Sony,5.2,4,256,1500,32,2000,Oceania,Q3,347
Apple,4.7,2,128,1500,108,20000,Oceania,Q2,105
Sony,5.8,2,64,1500,12,500,Oceania,Q3,860
Sony,5.0,6,32,1200,48,10000,North America,Q1,413
Apple,5.2,6,128,900,8,20000,Europe,Q3,376
Huawei,6.7,6,256,1100,32,500,Oceania,Q3,882
Google,6.2,4,128,500,32,5000,North America,Q3,919
Huawei,4.5,8,64,1200,48,20000,Oceania,Q2,347
OnePlus,4.7,4,256,800,12,5000,Asia,Q4,536
Xiaomi,6.7,16,1024,1000,64,20000,Africa,Q2,880
Motorola,6.2,3,512,400,48,1000,Asia,Q1,553
OnePlus,6.5,3,32,400,20,1000,Africa,Q2,812
Google,7.0,16,64,400,48,100,North America,Q3,345
OnePlus,5.2,8,32,1200,64,10000,South America,Q2,317
Huawei,5.2,4,128,1500,48,1000,North America,Q2,149
Samsung,6.7,12,256,1500,8,500,Asia,Q3,722
Samsung,5.5,8,64,1200,48,1000,Europe,Q1,353
Samsung,4.7,16,256,1400,32,1000,Europe,Q3,247
Oppo,5.5,8,256,700,24,1000,Oceania,Q2,731
Sony,5.2,4,128,600,12,5000,South America,Q2,304
Motorola,7.0,16,64,1400,32,10000,South America,Q4,872
Xiaomi,6.9,12,512,600,32,100,Asia,Q4,114
Google,4.7,12,128,1300,32,1000,North America,Q1,735
Oppo,6.2,16,512,100,12,10000,North America,Q2,538
LG,6.0,6,64,1400,12,500,South America,Q2,722
Samsung,6.5,8,512,1400,108,500,Oceania,Q2,109
Samsung,6.9,16,512,900,64,5000,Asia,Q2,672
LG,5.0,4,512,1200,108,1000,South America,Q4,887
Sony,6.0,16,1024,100,64,5000,Africa,Q1,222
Oppo,6.2,3,512,600,8,10000,South America,Q4,425
LG,5.8,4,64,400,16,1000,Oceania,Q2,287
OnePlus,6.2,4,1024,1200,12,2000,Oceania,Q1,107
OnePlus,6.9,16,256,1100,20,500,Oceania,Q1,459
Apple,6.4,2,32,600,64,1000,South America,Q1,638
Huawei,6.4,3,32,300,16,20000,Europe,Q4,338
Google,6.2,6,128,300,16,20000,North America,Q1,226
Apple,7.0,4,32,1200,8,20000,Asia,Q1,750
LG,6.0,16,256,800,16,1000,Oceania,Q2,172
Apple,4.5,16,64,400,64,500,Asia,Q4,933
LG,5.8,2,32,1200,12,1000,North America,Q2,321
Samsung,5.0,4,128,1500,64,5000,Oceania,Q1,486
LG,5.2,12,256,1500,108,500,Africa,Q3,175
OnePlus,6.8,4,128,1000,48,500,South America,Q4,832
Google,7.0,8,1024,1100,48,2000,South America,Q4,858
LG,7.0,4,256,200,32,10000,North America,Q4,112
OnePlus,4.7,3,128,1100,108,10000,North America,Q2,596
Xiaomi,4.7,16,32,200,20,10000,South America,Q4,543
LG,6.4,16,128,200,32,20000,North America,Q1,639
Apple,6.7,16,32,1500,8,20000,Asia,Q3,752
Motorola,6.0,6,32,1100,108,10000,Europe,Q4,394
Oppo,4.7,6,64,1100,32,20000,Oceania,Q3,469
LG,6.5,4,256,500,16,100,Europe,Q1,706
Motorola,6.8,12,512,800,20,500,North America,Q3,761
Oppo,7.0,6,64,500,20,100,Europe,Q1,123
Huawei,5.5,12,512,300,16,20000,Asia,Q1,920
Google,6.8,6,256,1500,108,100,Africa,Q4,352
Sony,6.7,2,1024,1000,48,500,North America,Q2,576
Google,4.5,3,512,400,24,500,Africa,Q4,559
Samsung,4.7,2,256,1000,64,5000,South America,Q3,363
Motorola,5.0,16,256,1100,24,100,North America,Q1,149
OnePlus,4.5,3,512,400,24,1000,Asia,Q1,378
OnePlus,6.4,12,32,500,64,500,Asia,Q4,706
Xiaomi,6.2,8,64,400,32,500,North America,Q2,831
Samsung,5.8,8,128,1100,16,100,South America,Q4,473
Xiaomi,5.8,6,64,500,24,10000,Asia,Q4,673
LG,7.0,6,256,1200,108,1000,Oceania,Q3,265
Motorola,6.5,6,512,700,32,20000,Asia,Q3,622
OnePlus,5.5,2,32,200,20,100,Africa,Q1,662
Samsung,7.0,8,1024,100,20,2000,Africa,Q4,472
LG,6.7,6,512,1500,8,500,North America,Q3,462
Huawei,6.7,6,128,1000,108,10000,Africa,Q2,102
Xiaomi,4.7,6,1024,400,12,100,Europe,Q2,877
OnePlus,5.8,8,256,600,20,20000,Europe,Q3,995
Apple,6.8,6,512,1400,48,20000,Africa,Q3,181
Xiaomi,6.9,6,256,1300,32,2000,Asia,Q3,536
Sony,5.0,2,256,1400,20,100,North America,Q3,700
LG,5.8,6,64,1200,16,100,Oceania,Q2,120
Oppo,6.7,2,64,1200,16,100,South America,Q2,170
Xiaomi,6.5,6,128,600,108,100,Africa,Q2,117
Huawei,6.8,12,256,600,8,10000,Oceania,Q4,403
Samsung,6.4,8,512,600,108,1000,Europe,Q4,429
Apple,6.5,3,64,700,48,500,Europe,Q3,666
Samsung,6.8,8,512,600,48,10000,North America,Q2,592
OnePlus,6.4,2,64,1400,32,100,Asia,Q3,761
LG,6.7,8,1024,400,64,10000,Oceania,Q1,975
Samsung,6.5,6,32,800,8,1000,Asia,Q1,649
Sony,4.5,12,1024,1100,20,20000,Oceania,Q4,432
Sony,6.4,3,1024,1400,12,10000,Africa,Q4,553
Sony,6.7,12,32,900,64,10000,North America,Q3,280
Xiaomi,6.7,2,128,300,108,1000,Oceania,Q4,262
Xiaomi,5.8,6,512,1000,8,2000,Oceania,Q4,746
Huawei,6.0,16,512,1000,48,1000,Africa,Q2,627
Motorola,6.9,4,1024,400,48,5000,Europe,Q1,496
Xiaomi,5.2,3,256,1300,64,500,North America,Q3,229
Motorola,6.8,3,128,100,48,10000,Oceania,Q3,530
OnePlus,7.0,6,512,1400,108,20000,Europe,Q4,455
Motorola,4.5,16,64,800,20,20000,Oceania,Q3,727
Samsung,4.5,4,1024,500,108,10000,Asia,Q4,366
OnePlus,6.8,3,128,1200,20,5000,South America,Q1,790
Motorola,5.2,16,1024,200,64,2000,South America,Q1,477
Samsung,5.2,2,32,900,48,20000,Europe,Q4,823
OnePlus,6.9,12,1024,1300,12,5000,South America,Q1,476
Motorola,6.0,16,256,1400,12,500,South America,Q1,854
Huawei,6.8,16,256,1200,20,20000,Asia,Q4,808
Xiaomi,5.0,4,64,1400,48,2000,Oceania,Q2,668
Samsung,4.7,3,64,1500,16,5000,South America,Q1,502
Samsung,4.7,2,1024,200,24,5000,Asia,Q2,285
Huawei,6.0,12,256,900,64,2000,Oceania,Q2,368
Motorola,6.7,6,32,900,48,1000,Oceania,Q4,660
Sony,4.5,2,64,1200,24,5000,North America,Q3,995
Huawei,5.5,6,1024,400,64,100,South America,Q2,399
Apple,6.4,8,1024,1500,16,100,North America,Q1,181
Google,5.5,6,128,600,16,1000,North America,Q1,120
Motorola,6.9,4,1024,1200,8,1000,Asia,Q2,779
Samsung,7.0,8,64,700,32,100,Oceania,Q1,211
OnePlus,7.0,4,32,1500,64,2000,Europe,Q3,209
Sony,5.5,3,32,1400,64,10000,South America,Q2,507
Oppo,5.8,4,32,400,16,20000,Europe,Q3,473
Sony,4.5,4,64,100,12,2000,Europe,Q1,732
OnePlus,6.9,2,256,900,64,2000,Asia,Q1,274
Google,6.4,4,32,100,64,100,Europe,Q3,805
LG,5.0,2,1024,800,16,5000,Europe,Q2,494
Sony,6.7,12,256,800,48,100,South America,Q1,442
OnePlus,6.8,12,64,500,8,1000,Asia,Q1,674
Oppo,6.8,16,128,100,24,1000,South America,Q1,737
Oppo,5.0,3,256,600,16,10000,Asia,Q1,556
Oppo,5.5,3,64,600,12,10000,North America,Q1,390
Huawei,4.5,16,32,900,24,20000,Africa,Q2,599
OnePlus,7.0,6,256,1200,16,2000,South America,Q3,528
Apple,4.7,8,1024,500,20,20000,Asia,Q1,914
Apple,6.4,8,64,300,20,20000,North America,Q3,189
OnePlus,4.5,12,1024,1400,20,20000,Africa,Q3,420
Oppo,6.2,2,256,1100,64,1000,Asia,Q4,896
Oppo,4.5,4,1024,400,108,5000,Africa,Q2,881
Xiaomi,6.8,16,512,400,24,2000,Africa,Q2,638
Samsung,4.5,8,256,1400,108,20000,Oceania,Q3,332
OnePlus,6.7,16,256,1200,20,20000,South America,Q4,876
Sony,5.5,6,1024,1500,8,1000,South America,Q4,360
Huawei,4.5,3,64,1100,12,1000,Europe,Q4,699
LG,6.7,2,128,1200,12,500,Africa,Q4,927
Oppo,6.0,16,128,700,24,20000,Oceania,Q3,748
Huawei,5.0,8,512,300,20,10000,North America,Q2,601
Oppo,5.5,6,64,400,20,2000,Europe,Q2,895
Huawei,6.5,2,64,100,20,2000,Africa,Q3,102
Oppo,4.5,12,1024,700,16,1000,Europe,Q1,331
Apple,6.0,2,128,1200,12,20000,North America,Q1,614
LG,5.0,4,64,700,12,2000,Africa,Q1,380
Apple,6.0,2,256,1200,48,100,Asia,Q2,879
Huawei,4.5,2,512,1000,8,1000,Europe,Q2,902
OnePlus,6.4,12,128,1000,32,100,Asia,Q4,377
Oppo,5.8,6,32,700,16,5000,Africa,Q3,277
Oppo,6.8,8,1024,100,64,1000,Oceania,Q4,583
OnePlus,6.7,3,64,400,108,100,South America,Q2,619
Apple,6.9,2,32,600,32,500,North America,Q4,516
OnePlus,4.5,4,256,700,16,10000,South America,Q3,289
Xiaomi,5.0,16,64,300,20,2000,Oceania,Q3,687
LG,5.5,8,64,400,8,5000,South America,Q2,571
OnePlus,6.4,4,1024,1200,108,5000,Europe,Q2,682
Samsung,7.0,2,32,1400,16,20000,Africa,Q2,190
Huawei,5.0,8,64,1200,24,500,Africa,Q1,339
LG,6.7,2,32,200,108,500,Europe,Q3,834
Sony,5.5,6,128,1500,32,1000,South America,Q3,754
Samsung,6.7,8,512,1200,20,20000,Oceania,Q4,867
Motorola,7.0,16,1024,1100,20,1000,Africa,Q4,144
Xiaomi,6.0,16,256,1300,48,10000,North America,Q2,442
Motorola,4.7,6,512,900,16,100,North America,Q1,698
LG,4.5,3,1024,1200,16,20000,Africa,Q4,935
LG,5.5,6,64,1500,64,100,Europe,Q1,592
Huawei,5.2,12,128,600,12,20000,North America,Q1,457
Oppo,5.5,16,512,200,32,1000,Oceania,Q1,743
OnePlus,6.0,16,64,800,48,10000,Africa,Q3,734
Motorola,6.4,16,128,1200,32,500,Oceania,Q4,958
Motorola,5.5,3,64,1500,12,5000,Oceania,Q3,237
Xiaomi,7.0,3,1024,400,108,500,Asia,Q4,362
LG,6.5,8,64,1400,20,20000,North America,Q4,428
Google,7.0,16,512,1000,20,1000,North America,Q3,239
Google,4.7,2,512,1200,20,500,Africa,Q4,175
OnePlus,5.8,2,32,800,108,10000,Asia,Q1,579
OnePlus,5.8,6,512,200,32,10000,Europe,Q2,153
Oppo,6.4,12,128,700,64,5000,Europe,Q3,734
Oppo,6.2,3,256,1200,20,2000,Europe,Q4,488
Motorola,5.0,2,256,1000,64,10000,North America,Q1,991
LG,5.2,12,512,1300,32,100,Europe,Q4,404
Oppo,4.5,6,512,900,64,10000,Asia,Q1,272
Oppo,7.0,12,256,1000,108,100,South America,Q2,736
Google,4.7,6,32,1400,24,500,South America,Q2,280
Motorola,6.2,6,32,1200,48,500,Asia,Q1,601
Google,6.9,4,256,1300,8,5000,South America,Q2,491
Google,6.5,3,32,1500,108,5000,Africa,Q1,221
Google,6.0,4,512,1400,16,20000,Asia,Q2,457
Apple,6.4,4,32,400,24,500,North America,Q3,617
Google,5.8,16,32,500,8,20000,North America,Q4,333
Apple,5.2,4,512,600,20,5000,Europe,Q2,211
Huawei,5.5,4,64,1300,20,2000,Africa,Q3,602
Xiaomi,6.8,2,64,800,12,500,Africa,Q1,638
Oppo,6.9,3,512,700,48,1000,South America,Q1,619
Oppo,5.5,6,128,500,48,500,Europe,Q3,759
Sony,5.5,8,64,400,32,5000,Asia,Q4,675
Huawei,6.5,12,256,200,108,100,South America,Q3,102
OnePlus,6.7,16,128,100,64,10000,Oceania,Q2,585
Google,6.2,16,128,1200,12,1000,Oceania,Q3,813
